rank,card
1474,1345
1475,9644
1476,2772
1477,2237
1478,826
1479,9310
1480,6212
1481,6539
1482,3361
1483,6629
1484,2691
1485,927
1486,2281
1487,9265
1488,2269
1489,3135
1490,2475
1491,6769
1492,1776
1493,5264
1494,1822
1495,8730
1496,9963
1497,5230
1498,5903
1499,2936
1500,580
1501,8066
1502,7460
1503,7269
1504,8810
1505,8952
1506,1831
1507,5048
1508,9701
1509,6122
1510,3623
1511,4642
1512,4651
1513,9130
1514,6924
1515,377
1516,9025
1517,7943
1518,520
1519,6697
1520,8811
1521,4250
1522,9765
1523,45
1524,9851
1525,7504
1526,4123
1527,7376
1528,8574
1529,2683
1530,5093
1531,4147
1532,4474
1533,1533
1534,5150
1535,5597
1536,5231
1537,180
1538,3654
1539,573
1540,8845
1541,6791
1542,1283
1543,9261
1544,9677
1545,3868
1546,6876
1547,6953
1548,9144
1549,9558
1550,1844
1551,2881
1552,8886
1553,331
1554,8472
1555,7567
1556,8457
1557,3553
1558,6439
1559,7103
1560,3704
1561,9812
1562,8582
1563,3128
1564,8355
1565,5622
1566,1446
1567,3254
1568,7944
1569,9436
1570,4467
1571,1427
1572,20
1573,4159
1574,3452
1575,4303
1576,6920
1577,3215
1578,6467
1579,8045
1580,1138
1581,3792
1582,6313
1583,2433
1584,3328
1585,4593
1586,6834
1587,4254
1588,3677
1589,5679
1590,2066
1591,5411
1592,6607
1593,4005
1594,8359
1595,474
1596,360
1597,9111
1598,7610
1599,6830
1600,6307
1601,1646
1602,6564
1603,6971
1604,3830
1605,4527
1606,2185
1607,3633
1608,3047
1609,4312
1610,1160
1611,7732
1612,2774
1613,6553
1614,2198
1615,6143
1616,819
1617,4949
1618,5997
1619,3919
1620,9002
1621,8965
1622,746
1623,1104
1624,9017
1625,2899
1626,4576
1627,834
1628,947
1629,3137
1630,5659
1631,1927
1632,3145
1633,5925
1634,8695
1635,3666
1636,5846
1637,2248
1638,7212
1639,9703
1640,4284
1641,2212
1642,7484
1643,7673
1644,5784
1645,1395
1646,6596
1647,3586
1648,2274
1649,2459
1650,7601
1651,5055
1652,362
1653,6628
1654,4286
1655,967
1656,4081
1657,5628
1658,7008
1659,5326
1660,4318
1661,3355
1662,5869
1663,995
1664,1397
1665,9285
1666,7507
1667,5045
1668,9245
1669,848
1670,7935
1671,1956
1672,7189
1673,2681
1674,9496
1675,8068
1676,3141
1677,7465
1678,6988
1679,4749
1680,691
1681,7437
1682,815
1683,4389
1684,5550
1685,3508
1686,5096
1687,2175
1688,2526
1689,6586
1690,5844
1691,8721
1692,4711
1693,1875
1694,3683
1695,4382
1696,4404
1697,1042
1698,2014
1699,7184
1700,9166
1701,7619
1702,5877
1703,1538
1704,5571
1705,6185
1706,3238
1707,6914
1708,6521
1709,7083
1710,2020
1711,4354
1712,5444
1713,4182
1714,2943
1715,7838
